Step,Reward,Average Reward,Cumulative Reward,Expected Utility,Expected Info Gain,Num Components
0,0,0.0,0,0.0,0.0,0.0
1,0,0.0,0,0.0,0.0,0.0
2,0,0.0,0,0.0,0.0,0.0
3,0,0.0,0,0.0,0.0,0.0
4,0,0.0,0,0.0,0.0,0.0
5,0,0.0,0,0.0,-0.87512475,1.0
6,0,0.0,0,0.0,-0.43806025,2.0
7,0,0.0,0,0.0,-0.500497,3.0
8,0,0.0,0,0.0,0.9980159,4.0
9,0,0.0,0,0.0,0.9980199,5.0
10,0,0.0,0,0.0,0.9980237,6.0
11,0,0.0,0,0.0,0.9980277,7.0
12,0,0.0,0,0.0,0.9980315,8.0
13,0,0.0,0,0.0,1.9960785,10.0
14,0,0.0,0,0.0,1.9960938,12.0
15,0,0.0,0,0.0,1.996109,14.0
16,0,0.0,0,0.0,1.9932832,16.0
17,0,0.0,0,0.0,1.4341819,17.0
18,0,0.0,0,0.0,1.3717549,19.0
19,0,0.0,0,0.0,1.3093271,21.0
20,0,0.0,0,0.0,1.2440579,23.0
21,0,0.0,0,0.0,1.1816292,24.0
22,0,0.0,0,0.0,1.1220407,25.0
23,0,0.0,0,0.0,1.0596108,27.0
24,0,0.0,0,0.0,0.9943396,29.0
25,0,0.0,0,0.0,0.9319086,30.0
26,0,0.0,0,0.0,0.86947715,31.0
27,0,0.0,0,0.0,0.8098862,32.0
28,0,0.0,0,0.0,0.7474537,34.0
29,0,0.0,0,0.0,0.68217987,36.0
30,0,0.0,0,0.0,0.61974645,37.0
31,0,0.0,0,0.0,0.55731255,38.0
32,0,0.0,0,0.0,0.4948781,39.0
33,0,0.0,0,0.0,1.9793181,41.0
34,0,0.0,0,0.0,1.9793313,43.0
35,0,0.0,0,0.0,1.9793444,45.0
36,0,0.0,0,0.0,1.9821985,47.0
37,0,0.0,0,0.0,1.9793704,49.0
38,0,0.0,0,0.0,1.9822242,50.0
39,0,0.0,0,0.0,1.9822367,52.0
40,0,0.0,0,0.0,1.9822495,54.0
41,0,0.0,0,0.0,1.97658,56.0
42,0,0.0,0,0.0,1.9709107,57.0
43,0,0.0,0,0.0,1.9659176,57.0
44,0,0.0,0,0.0,1.9639733,58.0
45,0,0.0,0,0.0,1.982415,59.0
46,0,0.0,0,0.0,1.9880034,60.0
47,0,0.0,0,0.0,1.9638001,61.0
48,0,0.0,0,0.0,1.9725398,62.0
