Step,Reward,Average Reward,Cumulative Reward,Expected Utility,Expected Info Gain,Num Components
0,0,0.0,0,0.0,0.0,0.0
1,0,0.0,0,0.0,0.0,0.0
2,0,0.0,0,0.0,0.0,0.0
3,0,0.0,0,0.0,0.0,0.0
4,0,0.0,0,0.0,0.0,0.0
5,0,0.0,0,0.0,-0.6286764,1.0
6,0,0.0,0,0.0,-0.6905048,2.0
7,0,0.0,0,0.0,0.98113215,3.0
8,0,0.0,0,0.0,0.9814815,4.0
9,0,0.0,0,0.0,-0.07102272,5.0
10,0,0.0,0,0.0,0.98214287,6.0
11,0,0.0,0,0.0,0.98245615,7.0
12,0,0.0,0,0.0,0.9827587,8.0
13,0,0.0,0,0.0,1.9666667,10.0
14,0,0.0,0,0.0,1.967742,12.0
15,0,0.0,0,0.0,1.9659091,14.0
16,0,0.0,0,0.0,1.9668561,15.0
17,0,0.0,0,0.0,1.9705882,16.0
18,0,0.0,0,0.0,1.9714286,18.0
19,0,0.0,0,0.0,1.9693813,20.0
20,0,0.0,0,0.0,1.9701322,21.0
21,0,0.0,0,0.0,1.9708433,22.0
22,0,0.0,0,0.0,1.9743589,23.0
23,0,0.0,0,0.0,1.9750001,25.0
24,0,0.0,0,0.0,1.9727689,27.0
25,0,0.0,0,0.0,1.9733496,28.0
26,0,0.0,0,0.0,1.9682214,29.0
27,0,0.0,0,0.0,1.9744319,30.0
28,0,0.0,0,0.0,1.972096,31.0
29,0,0.0,0,0.0,1.972579,32.0
30,0,0.0,0,0.0,2.96558,34.0
31,0,0.0,0,0.0,2.9693878,36.0
32,0,0.0,0,0.0,2.9702973,39.0
33,0,0.0,0,0.0,2.971154,42.0
34,0,0.0,0,0.0,2.969122,45.0
35,0,0.0,0,0.0,2.9698868,48.0
36,0,0.0,0,0.0,2.1588647,50.0
37,0,0.0,0,0.0,1.6050649,52.0
38,0,0.0,0,0.0,1.97331,55.0
39,0,0.0,0,0.0,1.7936172,57.0
40,0,0.0,0,0.0,1.4819999,58.0
41,0,0.0,0,0.0,1.4173251,61.0
42,0,0.0,0,0.0,1.4839388,63.0
43,0,0.0,0,0.0,1.4095786,65.0
44,0,0.0,0,0.0,1.3341411,67.0
45,0,0.0,0,0.0,1.2319806,69.0
46,0,0.0,0,0.0,1.2294581,71.0
47,0,0.0,0,0.0,1.1347394,73.0
48,0,0.0,0,0.0,0.97805446,74.0
