Step,Reward,Average Reward,Cumulative Reward,Expected Utility,Expected Info Gain,Num Components
0,0,0.0,0,0.0,0.0,0.0
1,0,0.0,0,0.0,0.0,0.0
2,0,0.0,0,0.0,0.0,0.0
3,0,0.0,0,0.0,0.0,0.0
4,0,0.0,0,0.0,-0.0004989952,1.0
5,0,0.0,0,0.0,-0.06293576,2.0
6,0,0.0,0,0.0,0.49900597,3.0
7,0,0.0,0,0.0,0.49900794,4.0
8,0,0.0,0,0.0,0.4990099,5.0
9,0,0.0,0,0.0,0.49901184,6.0
10,0,0.0,0,0.0,0.4990138,7.0
11,0,0.0,0,0.0,0.49901575,8.0
12,0,0.0,0,0.0,0.4990177,9.0
13,0,0.0,0,0.0,0.99804306,11.0
14,0,0.0,0,0.0,0.9952098,13.0
15,0,0.0,0,0.0,0.9952173,14.0
16,0,0.0,0,0.0,0.99522483,15.0
17,0,0.0,0,0.0,0.9980732,17.0
18,0,0.0,0,0.0,0.9980806,19.0
19,0,0.0,0,0.0,0.99808794,21.0
