Step,Reward,Average Reward,Cumulative Reward,Expected Utility,Expected Info Gain,Num Components
0,0,0.0,0,0.0,0.0,0.0
1,0,0.0,0,0.0,0.0,0.0
2,0,0.0,0,0.0,0.0,0.0
3,0,0.0,0,0.0,0.0,0.0
4,0,0.0,0,0.0,0.0,0.0
5,0,0.0,0,0.0,0.0,0.0
6,0,0.0,0,0.0,0.0,0.0
7,0,0.0,0,0.0,-0.37512475,1.0
8,0,0.0,0,0.0,0.49900398,2.0
9,0,0.0,0,0.0,0.49900597,3.0
10,0,0.0,0,0.0,0.9980198,5.0
11,0,0.0,0,0.0,0.9980276,7.0
12,0,0.0,0,0.0,0.99519444,9.0
13,0,0.0,0,0.0,1.2444736,11.0
14,0,0.0,0,0.0,1.4885646,13.0
15,0,0.0,0,0.0,1.4217525,14.0
16,0,0.0,0,0.0,1.241679,15.0
17,0,0.0,0,0.0,1.2886469,17.0
18,0,0.0,0,0.0,1.491472,20.0
19,0,0.0,0,0.0,1.359377,22.0
20,0,0.0,0,0.0,0.9976548,23.0
21,0,0.0,0,0.0,0.9352262,26.0
22,0,0.0,0,0.0,1.054441,29.0
23,0,0.0,0,0.0,0.93525136,31.0
24,0,0.0,0,0.0,0.8287194,34.0
25,0,0.0,0,0.0,0.7451062,35.0
26,0,0.0,0,0.0,0.7422764,37.0
27,0,0.0,0,0.0,0.65278757,39.0
28,0,0.0,0,0.0,0.56064856,41.0
29,-1,0.0,0,0.0,0.4982143,44.0
